product_name,price_hcm,price_hn,market_price
Bắp non,29000,30500,30000
Bắp cải trắng,9000,10000,9000
Bắp cải tím,18500,20000,18000
Bí đỏ,9500,10000,9000
Bí đao,9000,10000,10000
Dưa leo,14000,15000,15000
Khổ qua,14500,15500,14000
Khoai tây,11000,12000,12000
Cà rốt,12000,12500,11000
Cà tím,9500,10000,10000
Cải bó xôi,23000,24000,24000
Cải ngọt,9000,10000,9000
Cải thảo,13000,14500,14000
Cải bẹ xanh,10000,5000,9000
Cải thìa,14000,16000,15000
Cần Tây,19000,20500,18000
Rau muống,8000,9000,8000
Rau má,11000,12000,10000
Rau mồng tơi,11500,13500,12000
Xà Lách gai,17000,18500,17000
Xà lách xong,11000,12000,11000
Su su,8500,8000,7000
Nấm bào ngư,46500,47500,45000
Nấm đùi gà,49000,51000,48000
Nấm đông cô,105000,107500,100000
Cà chua,22000,23000,24000
Đậu Bắp,19000,20000,18000
Hành lá,26000,27500,25000
Hành tây,14500,16000,15000
Gừng,35500,36500,35000
Ớt,36500,36500,35000
Tỏi,23000,24000,22000
Ngò rí,29000,29000,28000
Ngò gai,12000,22000,20000
